year,sentence
2004,"Tabitha Araujo, 10, is killed, and a 13-year-old friend is critically injured in collision of two cars in Mount Sinai, LI; Araujo's mother, who allegedly ran red light, two other adults in her car and driver of other car receive lesser injuries (S) Metro Briefing | New York: Mount Sinai: Girl, 10, Killed In Car Accident"
2006,The announcement was the first time President Bush had acknowledged the existence of secret C.I.A. prisons abroad. President Moves 14 Held in Secret to Guantanamo
1993,"  The actor who took over for Judd Hirsch last week in ""Conversations With My Father"" hardly has a Broadway stage-actor's reputation. He is, in fact, best known for Hollywood buddy movies opposite partners who have ranged from Arnold Schwarzenegger to a chili-loving German shepherd named Jerry Lee Lewis.    But James Belushi has paid some stage dues. On March 5, 1982, many in the audience wondered whether he would go on as the Pirate King in ""The Pirates of Penzance"" at the Shubert Theater in Chicago after news reached him that his older brother John had died. ""I don't know about the show-must-go-on stuff,"" he recalled. ""But I did go on. To be honest with you, I didn't know what the hell else to do. It was a very public death."" Belushi Is No Stranger To a Bar Owner's Role Despite the Movie Image"
1982,"  Expanding the nightly network newscasts to an hour is essential to creating an informed public in an increasingly complex world, Fred Friendly, former CBS News president, suggested this week in the third annual ''Chet Huntley Memorial Lecture.''   Speaking to an audience at New York University, Mr. Friendly said that ''few issues on the American agenda are more crucial than the prospect of expanding the nightly news in order to achieve new dimension of comprehension through innovative forms of presentation that only a liberated time frame will make possible.''   ''In 1982, television may be the most powerful, most pervasive medium,'' Mr. Friendly added, ''but it does not yet do an adequate job of providing a reliable picture of the world. In 22 1/2 minutes, all you can do is an index, at best a digest.'' EXPANSION OF NETWORK NEWS IS CALLED 'CRUCIAL' BY FRIENDLY"
1990,LEAD: The Burger King Corporation has laid off 300 employees nationwide and plans to close more than a third of its field offices in a move to streamline the company and pay more attention to franchisees.   300 Are Laid Off By Burger King
1997,"Tests show that canister confiscated in Queens on Wednesday and labeled 'sarin' do not contain lethal nerve gas, but officials say that its owner, Lester E Deily, had nevertheless once been convicted of making terrorist threats against telephone executives in New Jersey; photo (M) Suspect's Canister, Labeled Lethal Gas, Proves Empty"
1967,"NYS Regents Bd asks Legis to develop educ TV network among private colls and univs, if possible in conjunction with SUNY system REGENTS ASK RISE IN SCHOOL FUNDS; State Urged to Increase Its Support by $221-Million"
1984,   The Enstar Corporation said it had made progress on its search for a buyer or buyers for the company or its assets. Enstar Suitors
1974,"The oil&#8208;producing Arab sheikdom of Kuwait was the mystery buyer that acquired last week about 14 per cent of Daimler&#8208;Benz, the West German maker of Mercedes automobiles, the Dresdner Bank disclosed. Page 57. Kuwait Daimler Buyer"
1961,"Roey, (Cardinal) Jos E van Cardinal van Roey Dead at 87; Primate of Belgium 30 Years; Archbishop of Malines Was Outspoken Critic of Nazls Fought Leopold Abdication"
1981,"  Mr. and Mrs. Francis J. McNamara Jr. of Darien, Conn., have announced the engagement of their daughter, Moira Patricia McNamara, to Lance Fitzgerald James, son of Richard E. James of San Miguel de Allende, Mexico, and Mrs. Marion Fitzgerald James of Tucson, Ariz.   The wedding is planned for June in Darien. Moira McNamara Will Be Married To Lance Fitzgerald James in June"
2000,"Prudential Insurance Co of America will reorganize its corporate structure so it can issue stock and join ranks of publicly trading companies; is now formally owned by policyholders and run as cooperative, but companies of this type, called mutuals, are increasingly finding that they need ability to issue stock to raise money for expansions and acquisitions (M) Prudential To Go Public And Sell Stock For First Time"
2015,"The photographer and his family live in a converted structure in Lucca, Italy. Massimo Vitali Moves Into a 14th-Century Church"
2001,"BURSTEIN-Morris M. In his 97th year. Beloved father of Naomi Max and Alice Burstein, grandfather of Yehuda Shraga and Tzipora Deena Burstein, father-in-law of Judith Burstein and Israel Max. He was much loved and will be greatly missed. Funeral services January 25, 9:00 A.M. at Garlick Kirschenbaum Chapels, 1153 Coney Island Ave., Brooklyn, NY. Shiva at Morris Burstein's residence.     BURSTEIN-Morris. Congregation Kehilath Jeshurun and its affiliates mourn the passing of the beloved father of their devoted member, Naomi Max. We extend heartfelt condolences to all members of the bereaved family. Rabbi Haskel Lookstein Rabbi Joshua Lookstein Chaim Edelstein, President Paid Notice: Deaths  BURSTEIN, MORRIS M."
2003,"TURI-Thomas T. Beloved husband of Mary (nee Rinaldi), devoted father of Dolores Marsh and Mary Ann Weigold. Also survived by seven grandchildren and 12 great grandchildren. Reposing at Perazzo Funeral Home, 199 Bleecker Street, N.Y.C. Funeral mass Saturday, 9:30AM, St. Anthony's RC Church. Interment Northport Rural Cemetery. Paid Notice: Deaths  TURI, THOMAS T."
2011,"On Monday night, it was all about backhands. Djokovic vs. Nadal: Breaking It Down"
2004,"Randy Boyagoda letter on Adam Clymer's Sept 27 article deplores image-focused media analyses of presidential debates Bush, Kerry and a Debate That Isn't"
1963,"4 indicted for violating US ban on travel to Cuba plead not guilty, Fed ct, NYC; ordered not to leave NYC and LI pending trial Dec 2 JUDGE RESTRICTS 4 IN TRAVEL-BAN CASE"
1973,"Article on Israeli Druses, Arabs who have managed to preserve their identity for last 800 yrs by settling in remote mt villages and holding to secret outgrowth of Moslem faith; both their isolation and their religious cohesion seen eroding as sect's younger members seek better-payings jobs and higher educ outside their villages; fewer young people are showing interest in following Druse religious practices, although they are committed to its preservation; their history revd; tenets of their faith outlined; illus Israeli Druses Entering Modern Era"
2013,Maxim made its name exploiting the market for a kind of adolescent mind-set but has seen some if its success fade. What Happened to the Maxim Man?
2008,"I wish we could all go back to those nights in the Kuwaiti desert, when a more sober assessment could have changed the way we fought. Worries Over Being ‘Slimed’"
1984,"  Three regulars - the defensive partners Dave Langevin and Stefan Persson, and the center Brent Sutter - will return from injuries tonight when the Islanders play the Vancouver Canucks at Nasssau Coliseum. Injured Islanders Ready to Return"
2014,Emily Bazelon’s cover story about Rebecca Gomperts and medical abortions by mail received hundreds of comments from readers. Here’s what they said. Analytics: How Readers Responded to Our Article About Abortion by Mail
1994,"  Mary Cleere Haran  Mary Cleere Haran, Rainbow and Stars, 30 Rockefeller Plaza, 65th floor, (212) 632-5000. In ""An Affair to Remember,"" her affectionate survey of 1950's movie songs, Mary Cleere Haran balances gorgeous jazz-inflected performances of popular standards with witty, barbed commentary on Hollywood's portrayal of romance four decades ago. A high point is her impersonation of Marilyn Monroe singing Irving Berlin's ""Lazy."" Backing the singer is a pop-jazz trio led by Bill Charlap that gives the material a lift while leaving Ms. Haran plenty of room to shine. Shows are at 8:30 and 11 tonight and tomorrow night. There is a $35 cover charge, and dinner is required for the early shows. STEPHEN HOLDEN 'Jelly Roll Morton'    Vernel Bagneris in ""Jelly Roll Morton: Hoo-Dude,"" Michael's Pub, 211 East 55th Street, Manhattan, (212) 758-2272. Vernel Bagneris, a performer steeped in New Orleans jazz culture, creates an absorbing portrait of the seminal jazz pianist and composer as a charming wheeler-dealer who is proud of his Creole roots and is deeply superstitious. The dialogue, adapted from Morton's taped reminiscences for the Library of Congress, is smoothly interwoven with vigorous piano performances of many of his pieces by Ray Smith, who is substituting this weekend for the show's regular pianist, Gunnar Larsen. Shows are tonight and tomorrow night at 9:15 and 11:15.  There is a $20 cover charge and a two-drink minimum. S. H. Sounds Around Town"
